ID,Capturista,Medio,Tipo de medio,Nodo,Tipo,Fecha de la nota,Fecha de consulta,Autor,Estado,Clave Mpio.,Municipio,Localidad,tags/palabras de busqueda,Liga,X,Y,Encabezado,Resumen 140,Clasificación,,,,,,,,,,,,,
1,,,,CHM,Nota,,,,,,,,,,,,,,"S,A,B,C,D",,,,,,,,,,,,,
2,,,,LRM,busqueda,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,NRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,LRM,Nota,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,El País,Periodico digital,NAC,Nota,20/08/23,19/10/23,,Nacional,,,,"""agua AROUND (4) estado de méxico""",https://elpais.com/mexico/2023-08-21/mexico-seco-las-cifras-ocultas-de-la-carestia-del-agua.html,,,México Seco,,,,,,,,,,,,,,,
6,,Facebook,Facebook,CHM,Búsqueda,04/01/22,19/10/23,,México,15,Chimalhuacán,,agua potable chimalhuacan,https://www.facebook.com/OdapasChimal22,,,Odapas Chimalhuacán,,,,,,,,,,,,,,,
7,,Facebook,,EMX,Búsqueda,28/06/21,19/10/23,,México,,Ocoyoacác,,agua potable chimalhuacan,https://www.facebook.com/profile.php?id=100083165927105,,,Comité de vigilancia de Agua Bo. Sta. María,,,,,,,,,,,,,,,
8,,Facebook,,,Búsqueda,04/08/15,19/10/23,,México,,,,agua potable estado de mexico,https://www.facebook.com/Agua.Edomex,,,Secretaría del Agua del Estado de México,,,,,,,,,,,,,,,
9,,COPARMEX,Intitución,,Nota,05/09/23,19/10/23,,Nacional,,,,"""noticias agua around (4) estado de méxico""",https://coparmex.org.mx/la-voz-de-la-ip-soluciones-al-gran-problema-del-agua-en-mexico/,,,La voz de la IP | Soluciones al gran problema del agua en México,,,,,,,,,,,,,,,
,,La Prensa,,CHM,Nota,12/10/23,19/10/23,,México,15,Chimalhuacán,,"""agua potable chimalhuacan""",https://www.la-prensa.com.mx/metropoli/denuncian-en-chimalhuacan-que-sequia-afecta-a-300-mil-habitantes-10838602.html,,,Denuncian en Chimalhuacán que sequía afecta a 300 mil habitantes,,,,,,,,,,,,,,,
11,,La Jornada,,CHM,Nota,30/09/23,19/10/23,,México,15,Chimalhuacán,,"""agua potable chimalhuacan""",https://lajornadaestadodemexico.com/chimalhuacan-denuncian-vecinos-fallas-en-pozos-y-falta-de-agua/?cn-reloaded=1,,,Chimalhuacán: Denuncian vecinos fallas en pozos y falta de agua,,,,,,,,,,,,,,,
12,,La Razón,,,Nota,17/10/23,19/10/23,,México,,,,""" tandeos de agua en los muncipios del estado de méxico"" con GPT-4 en Bing",https://www.razon.com.mx/estados/son-municipios-edomex-tendran-reduccion-agua-549317,,,Estos son los municipios del Edomex que tendrán reducción de agua,,,,,,,,,,,,,,,
13,,La Jornada,,LER,Nota,19/10/23,19/10/23,,México,15,Isidro Favela; Otzolotepec,,"""agua"" ""tala clandestina"" ""estado de méxico""",https://www.jornada.com.mx/noticia/2023/10/19/estados/edomex-alertan-ambientalistas-por-tala-clandestina-en-parque-otomi-893,,,Edomex: alertan ambientalistas por tala clandestina en Parque Otomí,,,,,,,,,,,,,,,
14,,La Jornada,,,Nota,18/10/2023,19/10/23,,México,15,,,"""agua"" ""cutzamala"" ""valle de méxico""",https://www.jornada.com.mx/noticia/2023/10/18/capital/baja-el-suministro-del-cutzamala-al-valle-de-mexico-por-la-sequia-841,,,Baja el suministro del Cutzamala al valle de México por la sequía,,,,,,,,,,,,,,,
15,,Heraldo EdoMex,,CHM,Nota,20/10/23,20/10/23,,México,15,Chimalhuacán,,"""agua potable chimalhuacan""",https://hgrupoeditorial.com/gobierno-de-chimalhuacan-ofrece-servicios-gratuitos-en-zonas-de-rezago/,,,Gobierno de Chimalhuacán ofrece servicios gratuitos en zonas de rezago,,,,,,,,,,,,,,,
16,,La Jornada EdoMex,,CHM,Nota,04/09/23,20/10/23,,México,15,Chimalhuacán,,"""agua potable chimalhuacan""",https://www.la-prensa.com.mx/metropoli/denuncian-en-chimalhuacan-mal-manejo-del-agua-por-organismo-rector-10644609.html,,,Denuncian en Chimalhuacán mal manejo del agua por organismo rector,,,,,,,,,,,,,,,
17,,El Sol de Toluca,,CHM,Nota,10/07/23,20/10/23,,México,15,Chimalhuacán,,"""agua potable chimalhuacan""",https://www.elsoldetoluca.com.mx/local/vecinos-de-chimalhuacan-realizan-bloqueo-por-desabasto-de-agua-potable-10350284.html,,,Vecinos de Chimalhuacán realizan bloqueo por desabasto de agua potable,,,,,,,,,,,,,,,
18,,La Jornada,,,Nota,31/10/23,31/10/23,,México,,,,"""agua potable estado de mexico""",https://www.jornada.com.mx/noticia/2023/10/30/estados/pozos-del-aifa-paliativo-para-la-creciente-crisis-hidrica-de-ecatepec-4546,,,"Pozos del AIFA, paliativo para la creciente crisis hídrica de Ecatepec",,,,,,,,,,,,,,,
19,,Hoja de ruta digital,,,Nota,31/10/23,31/10/23,,México,,,,"""agua potable estado de mexico""",https://hojaderutadigital.mx/la-secretaria-del-agua-del-estado-de-mexico-desplaza-maquinaria-de-limpieza-y-unidades-tipo-cisterna-en-apoyo-a-damnificados-por-el-huracan-otis/,,,La Secretaría Del Agua Del Estado De México Desplaza Maquinaria De Limpieza Y Unidades Tipo Cisterna En Apoyo A Damnificados Por El Huracán Otis,,,,,,,,,,,,,,,
20,,El Universal,,,Nota,17/10/23,31/10/23,,México,,,,"""agua potable estado de mexico""",https://www.eluniversal.com.mx/edomex/saca-las-cubetas-habra-reduccion-en-entrega-de-agua-potable-en-edomex/?outputType=amp,,,HABRÁ REDUCCIÓN EN ENTREGA DE AGUA POTABLE AL VALLE DE MÉXICO,,,,,,,,,,,,,,,
21,,Blog del Gobierno de México,Institución,,Nota,27/10/23,31/10/23,,México,,,,"""agua potable estado de mexico""",https://www.gob.mx/presidencia/es/articulos/version-estenografica-programas-para-el-bienestar-349921?idiom=es,,,Versión estenográfica. Planta Potabilizadora ‘Madín II’,,,,,,,,,,,,,,,
22,,Crónica,,,Nota,31/10/23,31/10/23,,México,,,,"""agua potable estado de mexico""",https://www.cronica.com.mx/amp/nacional/organismo-agua-naucalpan-oapas-aumentara-modificara-tarifas-vigentes.html,,,OAPAS confirma que en Naucalpan no aumentará ni modificará sus tarifas,,,,,,,,,,,,,,,
23,,El Universal,,,Nota,18/10/23,31/10/23,,México,,,,"""agua potable estado de mexico""",https://www.eluniversal.com.mx/edomex/tienes-sed-inauguran-planta-purificadora-de-agua-en-tlalnepantla/?outputType=amp,,,¿TIENES SED? INAUGURAN PLANTA PURIFICADORA DE AGUA EN TLALNEPANTLA,,,,,,,,,,,,,,,
24,,El Pulso del Estado de México,,,Nota,17/10/23,31/10/23,,México,15,Chimalhuacán,,"""agua potable chimalhuacan""",https://elpulsoedomex.com.mx/jardin-de-ninos-rosaura-zapata-sin-agua/,19.398594,-98.94952244,Jardín de niños “Rosaura Zapata” sin agua,,,,,,,,,,,,,,,
25,,El Universal,,,Nota,10/04/23,21/10/23,,México,15,Chimalhuacán,,"""agua potable chimalhuacan""",https://www.eluniversal.com.mx/edomex/habitantes-de-chimalhuacan-protestan-y-bloquean-avenida-del-penon-por-falta-de-agua/?outputType=amp,19.41202032,-98.97975795,HABITANTES DE CHIMALHUACÁN PROTESTAN Y BLOQUEAN AVENIDA DEL PEÑÓN POR FALTA DE AGUA,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
